,index,country
0,0,Afghanistan
1,1,Aland Islands
2,2,Albania
3,3,Algeria
4,4,American Samoa
5,5,Andorra
6,6,Angola
7,7,Anguilla
8,8,Antarctica
9,9,Antigua and Barbuda
10,10,Argentina
11,11,Armenia
12,12,Aruba
13,13,Australia
14,14,Austria
15,15,Azerbaijan
16,16,Bahamas
17,17,Bahrain
18,18,Bangladesh
19,19,Barbados
20,20,Belarus
21,21,Belgium
22,22,Belize
23,23,Benin
24,24,Bermuda
25,25,Bhutan
26,26,Bolivia
27,27,Bonaire
28,28,Bosnia and Herzegovina
29,29,Botswana
30,30,Brazil
31,31,British Indian Ocean Territory
32,32,British Virgin Islands
33,33,Brunei
34,34,Bulgaria
35,35,Burkina Faso
36,36,Burundi
37,37,Cambodia
38,38,Cameroon
39,39,Canada
40,40,Cape Verde
41,41,Cayman Islands
42,42,Central African Republic
43,43,Chad
44,44,Chile
45,45,China
46,46,Christmas Island
47,47,Cocos (Keeling) Islands
48,48,Colombia
49,49,Comoros
50,50,Congo
51,51,Cook Island
52,52,Costa Rica
53,53,Cote d'Ivoire
54,54,Croatia
55,55,Cuba
56,56,Curaçao
57,57,Cyprus
58,58,Czech Republic
59,59,Democratic Republic of Congo
60,60,Denmark
61,61,Djibouti
62,62,Dominica
63,63,Dominican Republic
64,64,Ecuador
65,65,Egypt
66,66,El Salvador
67,67,Equatorial Guinea
68,68,Eritrea
69,69,Estonia
70,70,Ethiopia
71,71,Falkland Islands
72,72,Faroe Islands
73,73,Fiji
74,74,Finland
75,75,France
76,76,French Guiana
77,77,French Polynesia
78,78,French Southern Territories
79,79,Gabon
80,80,Gambia
81,81,Georgia
82,82,Germany
83,83,Ghana
84,84,Gibraltar
85,85,Greece
86,86,Greenland
87,87,Grenada
88,88,Guadeloupe
89,89,Guam
90,90,Guatemala
91,91,Guernsey
92,92,Guinea
93,93,Guinea-Bissau
94,94,Guyana
95,95,Haiti
96,96,Heard Island and McDonald Islands
97,97,Holy See
98,98,Honduras
99,99,Hong Kong
100,100,Hungary
101,101,Iceland
102,102,India
103,103,Indonesia
104,104,Iran
105,105,Iraq
106,106,Ireland
107,107,Isle Of Man
108,108,Israel
109,109,Italy
110,110,Jamaica
111,111,Japan
112,112,Jersey
113,113,Jordan
114,114,Kazakhstan
115,115,Kenya
116,116,Kiribati
117,117,Kosovo
118,118,Kuwait
119,119,Kyrgyzstan
120,120,Laos
121,121,Latvia
122,122,Lebanon
123,123,Lesotho
124,124,Liberia
125,125,Libya
126,126,Liechtenstein
127,127,Lithuania
128,128,Luxembourg
129,129,Macao
130,130,Madagascar
131,131,Malawi
132,132,Malaysia
133,133,Maldives
134,134,Mali
135,135,Malta
136,136,Marshall Islands
137,137,Martinique
138,138,Mauritania
139,139,Mauritius
140,140,Mayotte
141,141,Mexico
142,142,Micronesia
143,143,"Moldova, Republic of"
144,144,Monaco
145,145,Mongolia
146,146,Montenegro
147,147,Montserrat
148,148,Morocco
149,149,Mozambique
150,150,Myanmar
151,151,Namibia
152,152,Nauru
153,153,Nepal
154,154,Netherlands
155,155,Netherlands Antilles
156,156,New Caledonia
157,157,New Zealand
158,158,Nicaragua
159,159,Niger
160,160,Nigeria
161,161,Niue
162,162,Norfolk Island
163,163,North Korea
164,164,Northern Mariana Islands
165,165,Norway
166,166,Occupied Palestinian Territory
167,167,Oman
168,168,Pakistan
169,169,Palau
170,170,Panama
171,171,Papua New Guinea
172,172,Paraguay
173,173,Peru
174,174,Philippines
175,175,Pitcairn
176,176,Poland
177,177,Portugal
178,178,Puerto Rico
179,179,Qatar
180,180,Reunion
181,181,Romania
182,182,Russian Federation
183,183,Rwanda
184,184,Saint Barthelemy
185,185,Saint Helena
186,186,Saint Kitts and Nevis
187,187,Saint Lucia
188,188,Saint Martin (French part)
189,189,Saint Pierre and Miquelon
190,190,Saint Vincent and the Grenadines
191,191,Samoa
192,192,San Marino
193,193,Sao Tome and Principe
194,194,Saudi Arabia
195,195,Senegal
196,196,Serbia
197,197,Seychelles
198,198,Sierra Leone
199,199,Singapore
200,200,Sint Maarten
201,201,Slovakia
202,202,Slovenia
203,203,Solomon Islands
204,204,Somalia
205,205,South Africa
206,206,South Georgia and the South Sandwich Islands
207,207,South Korea
208,208,South Sudan
209,209,Spain
210,210,Sri Lanka
211,211,Sudan
212,212,Suriname
213,213,Svalbard and Jan Mayen
214,214,Swaziland
215,215,Sweden
216,216,Switzerland
217,217,Syria
218,218,Taiwan
219,219,Tajikistan
220,220,Tanzania
221,221,Thailand
222,222,Timor-Leste
223,223,Togo
224,224,Tokelau
225,225,Tonga
226,226,Trinidad and Tobago
227,227,Tunisia
228,228,Turkey
229,229,Turkmenistan
230,230,Turks and Caicos Islands
231,231,Tuvalu
232,232,U.S. Virgin Islands
233,233,Uganda
234,234,Ukraine
235,235,United Arab Emirates
236,236,United Kingdom
237,237,United States
238,238,United States Minor Outlying Islands
239,239,Uruguay
240,240,Uzbekistan
241,241,Vanuatu
242,242,Venezuela
243,243,Vietnam
244,244,Wallis and Futuna
245,245,Western Sahara
246,246,Yemen
247,247,Zambia
248,248,Zimbabwe
249,249,the former Yugoslav Republic of Macedonia
